anchor,positive,negative
"def count_Pairs(arr,n): 
    cnt = 0; 
    for i in range(n): 
        for j in range(i + 1,n): 
            if (arr[i] != arr[j]): 
                cnt += 1; 
    return cnt;","def var1(arr, n):
    var2 = 0
    for var3 in range(var4):
        for var5 in range(var3 + 1, var4):
            if var6[var3] != var6[var5]:
                var2 += 1
    return var2
","import heapq as hq
def heap_queue_largest(nums,n):
  largest_nums = hq.nlargest(n, nums)
  return largest_nums"
"def find_lists(Input): 
	if isinstance(Input, list): 
		return 1
	else: 
		return len(Input)","def var1(Input):
    if isinstance(var2, list):
        return 1
    else:
        return len(var2)
","def combinations_list(list1):
    if len(list1) == 0:
        return [[]]
    result = []
    for el in combinations_list(list1[1:]):
        result += [el, el+[list1[0]]]
    return result"
"def histogram(test):
    dict1={}
    list1=test.split("" "")
    t=0

    for i in list1:
        if(list1.count(i)>t) and i!='':
            t=list1.count(i)
    if t>0:
        for i in list1:
            if(list1.count(i)==t):
                
                dict1[i]=t
    return dict1","def var1(test):
    var2 = {}
    var3 = var4.split(' ')
    var5 = 0
    for var6 in var3:
        if var3.count(var6) > var5 and var6 != '':
            var5 = var3.count(var6)
    if var5 > 0:
        for var6 in var3:
            if var3.count(var6) == var5:
                var2[var6] = var5
    return var2
","def reverse_words(s):
        return ' '.join(reversed(s.split()))"
"def below_threshold(l: list, t: int):
    for e in l:
        if e >= t:
            return False
    return True","def var1(l: list, t: int):
    for var2 in var3:
        if var2 >= var4:
            return False
    return True
","import re
def remove_all_spaces(text):
 return (re.sub(r'\s+', '',text))"
"def max_Abs_Diff(arr): 
    n = len(arr)
    minEle = arr[0] 
    maxEle = arr[0] 
    for i in range(1, n): 
        minEle = min(minEle,arr[i]) 
        maxEle = max(maxEle,arr[i]) 
    return (maxEle - minEle)","def var1(arr):
    var2 = len(var3)
    var4 = var3[0]
    var5 = var3[0]
    for var6 in range(1, var2):
        var4 = min(var4, var3[var6])
        var5 = max(var5, var3[var6])
    return var5 - var4
","
def digitSum(s):
    if s == """": return 0
    return sum(ord(char) if char.isupper() else 0 for char in s)"
"def add_dict_to_tuple(test_tup, test_dict):
  test_tup = list(test_tup)
  test_tup.append(test_dict)
  test_tup = tuple(test_tup)
  return (test_tup)","def var1(test_tup, test_dict):
    var2 = list(var2)
    var2.append(var3)
    var2 = tuple(var2)
    return var2
","
def encrypt(s):
    d = 'abcdefghijklmnopqrstuvwxyz'
    out = ''
    for c in s:
        if c in d:
            out += d[(d.index(c)+2*2) % 26]
        else:
            out += c
    return out"
"def digit_distance_nums(n1, n2):
         return sum(map(int,str(abs(n1-n2))))","def var1(n1, n2):
    return sum(map(int, str(abs(var2 - var3))))
","def new_tuple(test_list, test_str):
  return tuple(test_list + [test_str])"
"from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result","from typing import List, Tuple


def var1(numbers: var2[int]) ->var2[int]:
    var3 = None
    var4 = []
    for var5 in var6:
        if var3 is None:
            var3 = var5
        else:
            var3 = max(var3, var5)
        var4.append(var3)
    return var4
","import re
def find_adverb_position(text):
 for m in re.finditer(r""\w+ly"", text):
    return (m.start(), m.end(), m.group(0))"
"def extract_singly(test_list):
  res = []
  temp = set()
  for inner in test_list:
    for ele in inner:
      if not ele in temp:
        temp.add(ele)
        res.append(ele)
  return (res)","def var1(test_list):
    var2 = []
    var3 = set()
    for var4 in var5:
        for var6 in var4:
            if not var6 in var3:
                var3.add(var6)
                var2.append(var6)
    return var2
","def reverse_words(s):
        return ' '.join(reversed(s.split()))"
"def sum_to_n(n: int):
    return sum(range(n + 1))","def var1(n: int):
    return sum(range(var2 + 1))
","from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)"
