
text1,text2,similarity
"Здавалось , ніби за вікном настав гелловін — тільки на два місяці раніше , ніж треба .","здавалося, ніби за вікном настав гелловін — тільки на два місяці раніше, ніж треба.",0.9848484848484849
"з нагоди початку навчального року весь минулий тиждень університет пальметто ряснів помаранчевим та білим, а на вихідних хтось замінив білі прапорці та стрічки на чорні — кампус наче занурився у жалобу.","з Нагоди. початку навчального року весь минулий тиждень університет пальметто ряснів помаранчевим та білим , а на вихідних хтось замінив білі прапорці та стрічки на чорні — кампус наче занурився у жалобу .",1.0
"так собі данина поваги, подумав ніл джостен, хоча, найімовірніше, у ньому просто говорив цинізм.","Тож собі данина поваги , подумав ніл джостен , хоча , найімовірніше , у ньому просто говорив цинізм .",0.9743589743589743
він не докоряв собі за черствість.,він не Закидав собі за черствість .,0.8214285714285714
"у свої вісімнадцять ніл побачив стільки смертей, що пальців на руках не вистачить порахувати.","у свої вісімнадцять ніл Побачив стільки смертей , що пальців на руках не вистачить порахувати .",1.0
"смерть неприємна, але для нього вона — звичний і цілком терпимий біль у грудях.","смерть Неприємна , але для нього вона — звичний і цілком терпимий біль у грудях .",1.0
"несподівана Смерть сета гордона від передозування наркотиків , що трапилася в суботу , повинна була знайти відгомін в його душі — як - не-як , три місяці вони грали в одній команді й ділили кімнату , — проте ніл нічого не відчував .","несподівана загибель сета гордона від передозування наркотиків, що трапилася в суботу, повинна була знайти відгомін в його душі — як-не-як, три місяці вони грали в одній команді й ділили кімнату, — проте ніл нічого не відчував.",0.9226519337016574
"самому б не здохнути — ось завдання, на яке спрямовувались майже всі його сили.","самому б не здохнути — ось завдання , на яке Прямували майже всі його сили .",0.5238095238095238
замислюватися про чужі нещастя не було часу.,Міркувати про чужі нещастя не було часу .,0.6486486486486487
"тишу в салоні порушило раптове ревіння рок-музики, проте обірвалася вона так само різко, як і почалася.","тишу в Залі. порушило раптове ревіння рок - музики , проте обірвалася вона так само різко , як і почалася .",0.8809523809523809
ніл відвернувся від вікна і глянув уперед.,ніл відвернувся від вікна і глянув уперед .,1.0
"Стиха. вилаявшись собі під ніс , ніколас « нікі » хеммік прибрав руку з панелі приладів .","тихо вилаявшись собі під ніс, ніколас «нікі» хеммік прибрав руку з панелі приладів.",0.9714285714285714
"його кузен брат , аарон міньярд , що сидів ззаду разом з нілом , вдарив кулаком у спинку крісла водія .","його двоюрідний брат, аарон міньярд, що сидів ззаду разом з нілом, вдарив кулаком у спинку крісла водія.",0.8987341772151899
"чи Осуджував він кузена за спробу вдати , що все нормально , чи висловлював мовчазну підтримку , ніл не зрозумів .","чи засуджував він кузена за спробу вдати, що все нормально, чи висловлював мовчазну підтримку, ніл не зрозумів.",0.9666666666666667
"відносини між братами були настільки заплутані , що й буття не вистачить розібратися .","відносини між братами були настільки заплутані, що й життя не вистачить розібратися.",0.971830985915493
нікі знову потягнувся до перемикача радіоприймача.,Перемога знову потягнувся до перемикача радіоприймача .,0.9090909090909091
кевін дей на передньому пасажирському сидінні помітив цей рух першим.,кевін дей на передньому пасажирському Місці помітив цей рух першим .,0.559322033898305
він Відповів руку нікі й сказав :,він відвів руку нікі й сказав:,0.6923076923076923
"— та годі, не треба.","— та годі , не Необхідно .",0.6923076923076923
"— я не хочу на стадіон, — тихо зізнався нікі.","— я не хочу на стадіон , — Спокійно зізнався нікі .",0.5
"інші промовчали, проте ніл відчув, що всі думають так само.","інші промовчали , проте ніл Відчув , що всі думають так само .",1.0
"на сьогоднішнє тренування ніхто не рвався, але сезон уже стартував, сильно не відпочинеш.","на нинішнє тренування ніхто не рвався , але сезон уже стартував , сильно не відпочинеш .",0.8918918918918919
"добре хоч тренер вирішив зібрати їх у середу в другій половині дня — якраз у той час, коли ендрю міньярд, близнюк аарона, їхав на щотижневу зустріч із психологом.","добре хоч тренер Розв'язав зібрати їх у середу в другій половині дня — якраз у той час , коли ендрю міньярд , близнюк аарона , їхав на щотижневу зустріч із психологом .",0.8538461538461538
"зазвичай напади буйних веселощів ендрю не завдавали команді серйозних проблем, однак у збудженому стані він явно не робився приязніший.","Звичайно напади буйних веселощів ендрю не завдавали команді серйозних проблем , однак у збудженому стані він явно не робився приязніший .",0.9391304347826087
"Зараз же , коли на агресивність ендрю наклала відбиток смерть сета гордона , якого він на дух не переносив , ситуація взагалі загрожувала закінчитись катастрофою .","тепер же, коли на агресивність ендрю наклала відбиток смерть сета гордона, якого він на дух не переносив, ситуація взагалі загрожувала закінчитись катастрофою.",0.9626865671641791
"у неділю «лиси» зустрілися, щоб оплакати втрату товариша, а натомість ендрю зчепився з меттом, і все закінчилося потворною бійкою.","у неділю « Лиси » зустрілися , щоб оплакати втрату товариша , а натомість ендрю зчепився з меттом , і все закінчилося потворною бійкою .",1.0
"Потім ваймак навмисно розділив своїх підопічних : старшокурсників відправив до командного медика еббі уінфілд , а кевіну , нікі та близнюкам наказав сидіти у « лисячій вежі » .","опісля ваймак навмисно розділив своїх підопічних: старшокурсників відправив до командного медика еббі уінфілд, а кевіну, нікі та близнюкам наказав сидіти у «лисячій вежі».",0.9722222222222222
"ніл Також не виїжджав би з гуртожитку , але тренер не хотів залишати його одного в кімнаті , яку він раніше ділив із сетом та меттом , тому кілька ночей ніл провів на дивані у квартирі ваймака .","ніл теж не виїжджав би з гуртожитку, але тренер не хотів залишати його одного в кімнаті, яку він раніше ділив із сетом та меттом, тому кілька ночей ніл провів на дивані у квартирі ваймака.",0.954248366013072
"таку Піклування він вважав зайвою , але сперечатися не став .","таку турботу він вважав зайвою, але сперечатися не став.",0.7346938775510204
"Набір помер у ніч із суботи на неділю , а в понеділок його кремували .","сет помер у ніч із суботи на неділю, а в понеділок його кремували.",0.9074074074074074
"з Вістей , мати гордона підписала всі папери , проте навіть не прийшла до крематорію за прахом сина .","з чуток, мати гордона підписала всі папери, проте навіть не прийшла до крематорію за прахом сина.",0.925
"урну Взяла елісон рейнольдс , опорний півзахисник « лисів » та дівчина сета , з якою він вічно то розходився , то сходився знову .","урну забрала елісон рейнольдс, опорний півзахисник «лисів» та дівчина сета, з якою він вічно то розходився, то сходився знову.",0.9313725490196079
"чи планує елісон поховати прах або збирається весь рік тримати урну у себе в кімнаті, ніл не знав та й не питав.","чи Збирається елісон поховати прах або збирається весь рік тримати урну у себе в кімнаті , ніл не знав та й не питав .",0.9101123595505618
"його все ще мучили сумніви щодо тієї ролі, яку він зіграв у загибелі сета, і доти, доки він у собі не розбереться, волів краще не траплятися елісон на очі.","його все Знову мучили сумніви щодо тієї ролі , яку він зіграв у загибелі сета , і доти , доки він у собі не розбереться , волів краще не траплятися елісон на очі .",0.9262295081967213
"теперішній тренування вона пропустить , але інші прийдуть .","сьогоднішнє тренування вона пропустить, але інші прийдуть.",0.7959183673469388
"ніл не бачив старшокурсників від ранку неділі та розумів , що возз'єднання команди буде непростим .","ніл не бачив старшокурсників від ранку неділі та розумів, що возз'єднання команди буде непростим.",1.0
"проте Раніше через два дні друга гра сезону — хочеш не хочеш , а треба якось взяти себе в руки та згуртуватися .","проте вже через два дні друга гра сезону — хочеш не хочеш, а треба якось взяти себе в руки та згуртуватися.",0.8850574712643678
"шанси на перемогу у « лисах » завжди були невисокі , проте цього року перспективи вимальовувалися дуже похмурі .","шанси на перемогу у «лисів» завжди були невисокі, проте цього року перспективи вимальовувалися дуже похмурі.",0.9782608695652174
"«лиси» і раніше вважалися в нсса найменшою командою ексі першого дивізіону, але зараз кількість гравців скоротилася до мінімально допустимого рівня.","« Лиси. » і раніше вважалися в нсса найменшою командою ексі першого дивізіону , але зараз кількість гравців скоротилася до мінімально допустимого рівня .",1.0
"вони втратили єдиного п'ятикурсника, а тепер їхня лінія нападу складалася лише з травмованого чемпіона країни та аматора.","вони Загубили єдиного п'ятикурсника , а тепер їхня лінія нападу складалася лише з травмованого чемпіона країни та аматора .",0.9509803921568627
на периферії зору ніла замаячила помаранчева пляма.,на Околиці зору ніла замаячила помаранчева пляма .,0.75
"стадіон ексі університету пальметто важко не помітити: він вміщує шістдесят п'ять тисяч глядачів, пофарбований найяскравішою помаранчевою та білою фарбою, яка тільки є, і на кожній із чотирьох його стін зовні красується гігантський відбиток лисячої лапи.","Арена ексі університету пальметто важко не помітити : він вміщує шістдесят п'ять тисяч глядачів , пофарбований найяскравішою помаранчевою та білою фарбою , яка тільки є , і на кожній із чотирьох його стін зовні красується гігантський відбиток лисячої лапи .",0.9719626168224299
"Нині стадіон поринув у жалобу : чорні стрічки тремтіли на кожному ліхтарному стовпі вздовж паркування та на ґратах усіх двадцяти чотирьох входів для глядачів , а окремий вхід для « лисів » перетворився на свого роду вівтар : усі двері були обклеєні фотографіями сета гордона — самого та з друзями — і записками від викладачів .","сьогодні стадіон поринув у жалобу: чорні стрічки тремтіли на кожному ліхтарному стовпі вздовж паркування та на ґратах усіх двадцяти чотирьох входів для глядачів, а окремий вхід для «лисів» перетворився на свого роду вівтар: усі двері були обклеєні фотографіями сета гордона — самого та з друзями — і записками від викладачів.",0.9924812030075187
"нікі зупинився біля тротуару, але двигун глушити не став.","Перемога зупинився біля тротуару , але двигун глушити не став .",0.9148936170212766
"ніл вибрався з авто та озирнувся поверх даху, оцінюючи кількість поліцейських машин.","ніл вибрався з авто та Поглянув поверх даху , оцінюючи кількість поліцейських машин .",0.6197183098591549
"присутність у дружбі кевіна дея означала необхідність постійної охорони , а влітку , коли колишня команда кевіна перевелася до південно - східного округу , цю охорону посилили вдвічі .","присутність у команді кевіна дея означала необхідність постійної охорони, а влітку, коли колишня команда кевіна перевелася до південно-східного округу, цю охорону посилили вдвічі.",0.8874172185430463
"Єгипет поступово звикав до того , що на кожному кроці доводиться натрапляти на поліцію кампуса , але від вигляду копів його продовжувало трясти .","ніл поступово звикав до того, що на кожному кроці доводиться натрапляти на поліцію кампуса, але від вигляду копів його продовжувало трясти.",0.9495798319327731
"як тільки аарон і кевін вийшли з машини , Перемога поїхав .","як тільки аарон і кевін вийшли з машини, нікі поїхав.",0.717391304347826
йому не було сенсу перевдягатися на тренування — все одно за півгодини треба забирати ендрю з медичного центру.,йому не Було сенсу перевдягатися на тренування — все одно за пів години треба забирати ендрю з медичного центру .,1.0
"Провівши авто поглядом , ніл подивився на товаришів .","провівши авто поглядом, ніл подивився на товаришів.",1.0
"ні для кого не було секретом, що четвірка ендрю ненавиділа сета, проте у нікі та аарона все ж таки вистачало людяності перейматися його смертю.","ні для кого не було секретом , що четвірка ендрю Зненавиділа сета , проте у нікі та аарона все ж таки вистачало людяності перейматися його смертю .",0.6752136752136753
"кевін у перший момент сприйняв новину з грубою Індиферентності , щоправда , тоді він був смертельно п'яний і накачаний наркотою .","кевін у перший момент сприйняв новину з грубою байдужістю, щоправда, тоді він був смертельно п'яний і накачаний наркотою.",0.5047619047619047
чи Штрикнула його совість пізніше бодай раз ?,чи кольнула його совість пізніше бодай раз?,0.8108108108108109
"ніла розбирала цікавість: хто впорається з отупляючою млявістю першим? втім, терпець його швидко зник.","Ніл розбирала цікавість : хто впорається з отупляючою млявістю першим ? втім , терпець його швидко зник .",0.9529411764705882
"коли через тридцять секунд жоден з лисів не зрушив з місця, він плюнув і пішов до спец входу.","коли через тридцять Минут жоден з лисів не зрушив з місця , він плюнув і пішов до спец входу .",0.6891891891891891
"раніше код на Дверей змінювався кожні два місяці , але після переходу « воронів » до південно - східного округу ваймак оновлював його щотижня .","раніше код на дверях змінювався кожні два місяці, але після переходу «воронів» до південно-східного округу ваймак оновлював його щотижня.",0.9827586206896551
цього разу код складався з останніх чотирьох цифр телефонного номера еббі.,цього разу код складався з останніх чотирьох цифр телефонного номера еббі .,1.0
"ніл уже почав думати , що « лиси » , мабуть , мають рацію щодо її таємних стосунків з тренером .","ніл уже почав думати, що «лиси», мабуть, мають рацію щодо її таємних стосунків з тренером.",1.0
вони вервечкою пішли тунелем до роздягальні.,вони вервечкою пішли тунелем до роздягальні .,1.0
"двері, що вели в кімнату відпочинку, виявилися відчиненими; тут горіло світло, хоча всередині нікого не було.","двері , що вели в кімнату відпочинку , виявилися відчиненими ; тут горіло світло , хоча всередині нікого не було .",1.0
"ніл вирушив далі на розвідку , а кевін з аароном залишилися в кімнаті .","ніл вирушив далі на розвідку, а кевін з аароном залишилися в кімнаті.",1.0
"короткий коридор поєднував її з фоє — приміщенням, де «лиси» спілкувалися з журналістами до і після матчів.","короткий коридор З'єднував її з фоє — приміщенням , де « лиси » спілкувалися з журналістами до і після матчів .",0.8068181818181818
двері на іншому кінці фоє — власне вихід на поле — поки що були замкнені.,двері на іншому Фініші. фоє — власне вихід на поле — поки що були замкнені .,0.6964285714285714
"ніл повернувся до коридору, який вів у роздягальні та кімнати персоналу.","ніл повернувся до коридору , який вів у роздягальні та кімнати персоналу .",1.0
"кабінет Швидкості було закрито , проте , постоявши біля дерев'яних дверей , ніл розібрав за нею приглушений голос тренера .","кабінет ваймака було закрито, проте, постоявши біля дерев'яних дверей, ніл розібрав за нею приглушений голос тренера.",0.8383838383838383
"переконавшись, що сторонніх довкола немає, він повернувся до кімнати відпочинку.","Впевнившись , що сторонніх довкола немає , він повернувся до кімнати відпочинку .",0.8970588235294118
"коли ніл увійшов, кевін та аарон рухали меблі.","як ніл увійшов , кевін та аарон рухали меблі .",0.8918918918918919
"дивлячись , як вони переставляють Сідла та дивани буквою « v » , ніл поцікавився :","дивлячись, як вони переставляють крісла та дивани буквою «v», ніл поцікавився:",0.53125
"— змінюємо розсадження, — повідомив аарон, — якщо, звісно, ти не хочеш весь сезон дивитися на порожнє крісло.","— Міняємо розсадження , — повідомив аарон , — якщо , звісно , ти не хочеш весь сезон дивитися на порожнє крісло .",0.9761904761904762
"— місця від ваших перестановок не побільшає , — зауважив ніл .","— місця від ваших перестановок не побільшає, — зауважив ніл.",1.0
"— на дивані навіть учотирьох тісно, не те що вп’ятьох.","— на канапі навіть учотирьох тісно , не те що вп’ятьох .",0.9047619047619048
кевін подивився на нього як на недоумка .,кевін подивився на нього як на недоумка.,1.0
"цей погляд був уже до болю знайомий нілу і, як і раніше, злив його навіть після чотирьох місяців спільних тренувань.","цей Зір був уже до болю знайомий нілу і , як і раніше , злив його навіть після чотирьох місяців спільних тренувань .",0.9042553191489362
"— ти знаєш , куди тепер твоє місце ? — підняв брови кевін .","— ти знаєш, де тепер твоє місце? — підняв брови кевін.",0.7560975609756098
"ще в п'ятницю ніл був Переконаний : він не настільки дурний , щоб думати , ніби він має власне місце .","ще в п'ятницю ніл був упевнений: він не настільки дурний, щоб думати, ніби він має власне місце.",0.7012987012987013
"ендрю пообіцяв все змінити, але його заступництво мало свою ціну.","ендрю пообіцяв все змінити , але його заступництво мало свою ціну .",1.0
"ендрю захистить ніла від примар минулого, якщо той допоможе утримати кевіна в команді пальметто.","ендрю захистить ніла від Ма́р минулого , якщо той допоможе утримати кевіна в команді пальметто .",0.691358024691358
"здавалося б, все просто, проте нікі попередив, що радіти рано.","Здавалося б , все просто , проте нікі попередив , що радіти рано .",1.0
нілу доведеться стати частиною відбитої компанії ендрю.,нілу доведеться Зробитися частиною відбитої компанії ендрю .,0.6458333333333334
сховатися в тіні більше не Удасться .,сховатися в тіні більше не вдасться.,0.9666666666666667
ніл ще раз подивився на нову схему розміщення і нарешті зрозумів.,ніл ще раз подивився на нову схему розміщення і нарешті зрозумів .,1.0
"влітку четвірка ендрю тулилася на одному дивані, а тепер місця стало більше: троє вільно розсядуться на дивані, двоє, що залишилися, займуть крісла з боків.","влітку четвірка ендрю Притулилася на одному дивані , а тепер місця стало більше : троє вільно розсядуться на дивані , двоє , що залишилися , займуть крісла з боків .",0.8582677165354331
Студентам дістануться диван та крісло навпроти .,старшокурсникам дістануться диван та крісло навпроти.,0.8292682926829268
"ніл ступив до крайнього крісла, оскільки завжди вибирав місце якомога далі, але аарон плюхнувся в нього першим.","ніл ступив до крайнього крісла , оскільки завжди вибирав місце якомога далі , але аарон плюхнувся в нього першим .",1.0
"бачачи, що ніл забарився, аарон пояснив:","Зрячи , що ніл забарився , аарон пояснив :",0.875
— сидітимеш на дивані з кевіном та ендрю.,— сидітимеш на канапі з кевіном та ендрю .,0.875
"— не Кохаю , коли доводиться тулитись , — сказав ніл , — і сидіти поруч із твоїм братом теж не хочу .","— не люблю, коли доводиться тулитись, — сказав ніл, — і сидіти поруч із твоїм братом теж не хочу.",0.9444444444444444
"— нікі цілий рік Зносив , і ти потерпиш , — відповів аарон .","— нікі цілий рік терпів, і ти потерпиш, — відповів аарон.",0.8809523809523809
"— ви ж рідня, — заперечив ніл і тут же згадав, що для «лисів» це взагалі не аргумент.","— ви ж рідня , — Заперечив ніл і тут же згадав , що для « лисів » це взагалі не аргумент .",1.0
ваймак комплектував команду виключно вихідцями із неблагополучних сімей.,ваймак комплектував команду виключно вихідцями із неблагополучних сімей .,1.0
"у « лисячій норі » вважали , що « Сім'я » — це вигадка , покликана зробити книжки та голлівудські фільми цікавішими .","у «лисячій норі» вважали, що «родина» — це вигадка, покликана зробити книжки та голлівудські фільми цікавішими.",0.7
"ще вимовляючи ці слова, ніл зрозумів, що сперечатися марно, тому сів куди велено.","Знову вимовляючи ці слова , ніл зрозумів , що сперечатися марно , тому сів куди велено .",0.9692307692307692
"кевін влаштувався на іншому краю дивана, залишивши посередині місце для ендрю.","кевін влаштувався на іншому краю канапи , залишивши посередині місце для ендрю .",0.9242424242424242
ніл знову обвів очима кімнату.,ніл знову обвів Очима кімнату .,1.0
"цікаво , як Поставляться до перестановки старшокурсники ? його погляд упав на надрукований великим шрифтом розклад , що висів над телевізором , і всередині все стислося .","цікаво, як поставляться до перестановки старшокурсники? його погляд упав на надрукований великим шрифтом розклад, що висів над телевізором, і всередині все стислося.",1.0
"П'ятниця. , тринадцяте жовтня — день , коли аутсайдери « лиси » зіграють проти « воронів » , найсильнішої команди першого дивізіону з університету едгара аллана .","п'ятниця, тринадцяте жовтня — день, коли аутсайдери «лиси» зіграють проти «воронів», найсильнішої команди першого дивізіону з університету едгара аллана.",1.0
це буде повний капець.,це буде Заповнений капець .,0.5555555555555556
"двері в кабінет ваймака в коридорі відчинилися , але секундою пізніше задзвонив телефон .","двері в кабінет ваймака в коридорі відчинилися, але секундою пізніше задзвонив телефон.",1.0
"не завдаючи собі клопоту Знов зачинити двері , тренер взяв слухавку .","не завдаючи собі клопоту знову зачинити двері, тренер взяв слухавку.",0.5535714285714286
"судячи з відповідей ваймака, хтось капав йому на мозок щодо урізаної лінії нападу.","судячи з відповідей ваймака , хтось крапав йому на мозок щодо урізаної лінії нападу .",0.5588235294117647
"роздратований тон , певно , не надавав його запевненням переконливості , проте ніл знав , що тренер абсолютно щирий .","роздратований тон, певно, не надавав його запевненням переконливості, проте ніл знав, що тренер абсолютно щирий.",1.0
"для цієї Особини не має значення , скільки лисів у команді — дев'ять чи двадцять п'ять .","для цієї людини не має значення, скільки лисів у команді — дев'ять чи двадцять п'ять.",0.835820895522388
"він продовжить Боротися за них до самого кінця , хоч би яким гірким і кривавим той бій був .","він продовжить битися за них до самого кінця, хоч би яким гірким і кривавим той бій був.",0.7777777777777778
"тренер ще продовжував розмову, коли відчинилися двері до кімнати відпочинку.","тренер Знов продовжував розмову , коли відчинилися двері до кімнати відпочинку .",0.8923076923076924
"першою увійшла капітан команди даніель уайлдс, одразу за нею — її бойфренд метт бойд та найкраща подруга рене вокер.","першій увійшла капітан команди даніель уайлдс , одразу за нею — її бойфренд метт бойд та найкраща подруга рене вокер .",0.9789473684210527
"всі троє зробили кілька кроків і завмерли, як укопані.","всі троє Зробили кілька кроків і завмерли , як укопані .",1.0
"вказуючи пальцем на ніла, але дивлячись на кевіна, ден запитала:","Зазначаючи пальцем на ніла , але дивлячись на кевіна , ден запитала :",0.9230769230769231
— і що це все означає ?,— і що це все означає?,1.0
"— ти Збагнула , що це означає , коли ми в суботу забрали його з собою .","— ти зрозуміла, що це означає, коли ми в суботу забрали його з собою.",0.8431372549019608
"ваймак грюкнув слухавкою об корпус апарату — чи справді завершив неприємну розмову, чи використав збір команди як привід кинути слухавку.","ваймак Тріснув слухавкою об корпус апарату — чи справді завершив неприємну розмову , чи використав збір команди як привід кинути слухавку .",0.9739130434782609
"Ввійшовши до кімнати відпочинку , він простежив поглядом за витягнутим пальцем ден .","увійшовши до кімнати відпочинку, він простежив поглядом за витягнутим пальцем ден.",0.9857142857142858
"подивився на ніла , Згодом на кевіна , потім на аарона ; оцінив перестановку і знову втупив очі в ніла .","подивився на ніла, потім на кевіна, потім на аарона; оцінив перестановку і знову втупив очі в ніла.",0.7625
"— начебто ще недавно ендрю не відчував до тебе симпатії, — зауважив він.","— начебто Знову недавно ендрю не відчував до тебе симпатії , — зауважив він .",0.8571428571428571
"— і досі не відчуває , — не Залучаючись у пояснення , відповів ніл .","— і досі не відчуває, — не вдаючись у пояснення, відповів ніл.",0.5510204081632653
